p,d,q,P,D,Q,s,aic,converged,fit_seconds
0,0,0,1,1,1,24,15358.804284250446,True,3.53
0,0,1,1,1,1,24,15149.707037020395,True,4.80
0,0,2,1,1,1,24,14996.575250770893,True,5.63
0,0,3,1,1,1,24,14956.957435327655,True,5.83
0,0,4,1,1,1,24,14937.905882683259,True,7.74
0,0,5,1,1,1,24,14908.89575388851,True,7.72
0,0,6,1,1,1,24,14884.874188868136,True,9.70
0,1,0,1,1,1,24,15274.0564578979,True,3.88
0,1,1,1,1,1,24,15012.214908690443,True,4.35
0,1,2,1,1,1,24,14997.854978942933,True,4.76
0,1,3,1,1,1,24,14943.303297524573,True,6.28
0,1,4,1,1,1,24,14922.512654061022,True,7.08
0,1,5,1,1,1,24,14908.942941152429,True,8.67
0,1,6,1,1,1,24,14886.532748989908,True,13.59
0,2,0,1,1,1,24,16331.31058741151,True,3.69
0,2,1,1,1,1,24,15256.65689855012,True,6.58
0,2,2,1,1,1,24,15000.486912075456,False,10.65
0,2,3,1,1,1,24,14986.64499517217,False,11.27
0,2,4,1,1,1,24,15217.398873499835,True,10.44
0,2,5,1,1,1,24,15196.403014454476,False,16.79
0,2,6,1,1,1,24,15154.776796914995,False,22.21
1,0,0,1,1,1,24,15023.631530642275,True,4.60
1,0,1,1,1,1,24,14951.00453827265,True,4.90
1,0,2,1,1,1,24,14935.643701677624,True,7.38
1,0,3,1,1,1,24,14917.368178098402,True,6.82
1,0,4,1,1,1,24,14948.200393833047,True,14.28
1,0,5,1,1,1,24,14885.138532844892,True,13.68
1,0,6,1,1,1,24,14872.029067576565,True,13.41
1,1,0,1,1,1,24,15072.795377686096,True,4.25
1,1,1,1,1,1,24,14996.155052063528,True,6.91
1,1,2,1,1,1,24,15002.977913110462,True,7.19
1,1,3,1,1,1,24,14987.170124358645,False,15.97
1,1,4,1,1,1,24,15000.61497741734,False,18.31
1,1,5,1,1,1,24,15065.624625704466,False,18.55
1,1,6,1,1,1,24,15047.715300706617,False,19.24
1,2,0,1,1,1,24,15707.081789017966,True,3.74
1,2,1,1,1,1,24,15054.998494965817,True,8.88
1,2,2,1,1,1,24,15273.02491652187,False,12.67
1,2,3,1,1,1,24,15195.647045222493,False,14.50
1,2,4,1,1,1,24,15208.473845755185,False,16.64
1,2,5,1,1,1,24,15185.40297073242,False,17.46
1,2,6,1,1,1,24,15140.149711231006,True,23.46
2,0,0,1,1,1,24,14943.616688513692,True,4.40
2,0,1,1,1,1,24,14945.616682318367,True,7.53
2,0,2,1,1,1,24,14934.150899448976,True,9.21
2,0,3,1,1,1,24,14919.100239880454,False,12.84
2,0,4,1,1,1,24,14946.499008013343,False,17.68
2,0,5,1,1,1,24,14882.185330232413,False,15.26
2,0,6,1,1,1,24,14953.60522937677,False,20.43
2,1,0,1,1,1,24,15045.529759862406,True,4.66
2,1,1,1,1,1,24,14940.610617813814,True,7.51
2,1,2,1,1,1,24,14928.470115030199,True,10.91
2,1,3,1,1,1,24,14923.714577109378,False,15.97
2,1,4,1,1,1,24,15089.852154581302,False,19.16
2,1,5,1,1,1,24,15069.543056337392,False,19.57
2,1,6,1,1,1,24,15040.241843335167,False,20.71
2,2,0,1,1,1,24,15511.979751361225,True,5.86
2,2,1,1,1,1,24,15041.94861368059,False,11.34
2,2,2,1,1,1,24,15233.12553545402,False,18.14
2,2,3,1,1,1,24,15218.578655727168,False,14.72
2,2,4,1,1,1,24,15196.016953015387,False,19.69
2,2,5,1,1,1,24,15173.34719192391,False,21.91
2,2,6,1,1,1,24,15140.188109444705,False,27.83
3,0,0,1,1,1,24,14932.486123168961,True,6.24
3,0,1,1,1,1,24,14978.773273958841,False,13.88
3,0,2,1,1,1,24,15062.632990216305,False,18.22
3,0,3,1,1,1,24,15059.120519252236,False,20.90
3,0,4,1,1,1,24,15053.748117496954,False,16.70
3,0,5,1,1,1,24,15026.006177814163,False,22.66
3,0,6,1,1,1,24,14915.405191065716,False,24.81
3,1,0,1,1,1,24,15014.932869388209,True,5.00
3,1,1,1,1,1,24,14928.465317129303,True,10.17
3,1,2,1,1,1,24,15105.495911539922,False,14.48
3,1,3,1,1,1,24,15051.090759244536,False,18.59
3,1,4,1,1,1,24,15088.625307625172,False,18.04
3,1,5,1,1,1,24,15060.163456088125,False,21.60
3,1,6,1,1,1,24,15047.466912341457,False,21.35
3,2,0,1,1,1,24,15414.372606724139,True,7.68
3,2,1,1,1,1,24,15010.58931813154,True,12.71
3,2,2,1,1,1,24,15233.532596136567,False,16.80
3,2,3,1,1,1,24,15212.487227195637,False,18.71
3,2,4,1,1,1,24,15199.010005972566,False,19.20
3,2,5,1,1,1,24,15170.794061011835,False,20.90
3,2,6,1,1,1,24,15140.026058859854,False,27.85
4,0,0,1,1,1,24,14919.953749989127,True,7.10
4,0,1,1,1,1,24,14935.829332975372,False,15.18
4,0,2,1,1,1,24,15104.67867803588,False,18.56
4,0,3,1,1,1,24,15040.091270746449,False,23.58
4,0,4,1,1,1,24,15050.081912404521,False,21.58
4,0,5,1,1,1,24,15037.393526272806,False,20.16
4,0,6,1,1,1,24,15028.502181704145,False,23.81
4,1,0,1,1,1,24,14974.284449427392,True,7.54
4,1,1,1,1,1,24,14916.276951497703,True,13.24
4,1,2,1,1,1,24,15048.117875228949,False,23.78
4,1,3,1,1,1,24,15100.61126199504,False,22.08
4,1,4,1,1,1,24,15082.78106041341,False,22.88
4,1,5,1,1,1,24,15048.582821563175,False,23.36
4,1,6,1,1,1,24,15047.619121401352,False,23.84
4,2,0,1,1,1,24,15286.852714554692,True,8.20
4,2,1,1,1,1,24,14970.275365033867,True,20.56
4,2,2,1,1,1,24,15219.089370874684,True,20.52
4,2,3,1,1,1,24,15204.346537690975,False,19.79
4,2,4,1,1,1,24,15179.560288002685,False,27.89
4,2,5,1,1,1,24,15164.215556114472,False,28.74
4,2,6,1,1,1,24,15133.642581716538,False,30.41
5,0,0,1,1,1,24,14901.840154675025,True,9.28
5,0,1,1,1,1,24,14903.056683882904,True,15.72
5,0,2,1,1,1,24,15035.568420403388,False,21.43
5,0,3,1,1,1,24,15046.359259312256,False,22.69
5,0,4,1,1,1,24,15055.598565764016,False,29.43
5,0,5,1,1,1,24,15033.55260992819,False,25.25
5,0,6,1,1,1,24,15028.310862536644,False,26.76
5,1,0,1,1,1,24,14961.240124080865,True,10.88
5,1,1,1,1,1,24,14898.223483190304,False,21.51
5,1,2,1,1,1,24,15065.313024448305,False,26.67
5,1,3,1,1,1,24,15168.58795971213,False,29.75
5,1,4,1,1,1,24,15083.104819070037,False,28.04
5,1,5,1,1,1,24,15061.423285202345,False,29.68
5,1,6,1,1,1,24,15045.46610074725,False,30.90
5,2,0,1,1,1,24,15209.175056924752,True,16.46
5,2,1,1,1,1,24,14957.325935360384,True,17.12
5,2,2,1,1,1,24,15194.218806287785,False,22.48
5,2,3,1,1,1,24,15189.561045625025,False,26.18
5,2,4,1,1,1,24,15180.543455132463,False,29.74
5,2,5,1,1,1,24,15159.250734784986,False,29.64
5,2,6,1,1,1,24,15129.708222894737,False,36.51
6,0,0,1,1,1,24,14888.557905204147,True,10.73
6,0,1,1,1,1,24,14893.824215762019,False,23.01
6,0,2,1,1,1,24,15030.902746093885,False,24.40
6,0,3,1,1,1,24,15051.156271740516,False,27.05
6,0,4,1,1,1,24,15036.400446699643,False,25.38
6,0,5,1,1,1,24,15041.907841712888,False,23.83
6,0,6,1,1,1,24,15011.109544374642,False,32.25
6,1,0,1,1,1,24,14948.57256105251,True,11.31
6,1,1,1,1,1,24,14884.843791496625,False,28.33
6,1,2,1,1,1,24,15061.793909837117,False,31.33
6,1,3,1,1,1,24,15147.189026596301,False,33.92
6,1,4,1,1,1,24,15075.017625229673,False,25.55
6,1,5,1,1,1,24,15059.940000184393,False,28.50
6,1,6,1,1,1,24,15045.898687555995,False,27.60
6,2,0,1,1,1,24,15152.353306777251,True,12.67
6,2,1,1,1,1,24,14944.471910235035,True,17.26
6,2,2,1,1,1,24,15185.938613093673,False,28.33
6,2,3,1,1,1,24,15192.21250573952,False,30.36
6,2,4,1,1,1,24,15186.926413779307,False,28.65
6,2,5,1,1,1,24,15167.40676687107,False,29.25
6,2,6,1,1,1,24,15139.901504736506,False,41.55
