origin_day,origin_date,RMSE,MAE,MAPE_%
1,2016-05-13,159.59644329632985,112.72210797058308,19.451833517901953
2,2016-05-14,143.88514079959586,90.33534404680908,15.90367471677343
3,2016-05-15,377.27039316323214,246.6116929557335,30.23994345313105
4,2016-05-16,246.62313821378865,188.44342933442212,53.59859036880009
5,2016-05-17,183.3484210271003,135.32433569976658,30.818801794594382
6,2016-05-18,250.06339846625514,183.00594259769343,45.91948955599365
7,2016-05-19,231.66740612026587,154.1039172454533,39.3242660956549
8,2016-05-20,809.9608153101759,504.66425040095356,37.07465985352914
9,2016-05-21,366.92210188810446,224.9404958643785,25.978927814692575
10,2016-05-22,328.87326476989443,215.10971500356854,45.859757756443216
11,2016-05-23,196.23488236726712,146.8532618769194,29.351084956027652
12,2016-05-24,222.81107670861232,143.40153198070496,29.238505831398204
13,2016-05-25,661.8051551116339,388.27321503124307,31.778161640281922
14,2016-05-26,413.79588389344536,265.9532274571919,30.167312344297248
