,0
target_lag24,0.054991905
target_dow_cos,0.048274554
future_T3,0.04711204
future_RH_7,0.044112455
target_hour_cos,0.042703494
target_lag168,0.04250133
future_T7,0.041033927
rolling_mean_168,0.04012285
future_RH_3,0.03779105
future_RH_4,0.036322486
is_weekend,0.033781085
future_T4,0.032179978
future_T9,0.030969959
future_T1,0.03081994
future_T5,0.028938256
target_hour_sin,0.028469648
target_dow_sin,0.028009033
future_RH_1,0.02612239
future_T8,0.025321087
future_RH_5,0.025032237
future_RH_9,0.023874754
future_RH_6,0.023277547
future_T2,0.023015728
future_T_out,0.022693291
future_T6,0.021988263
future_RH_2,0.021911671
future_Windspeed,0.02020966
future_Tdewpoint,0.019336129
future_Visibility,0.019206485
future_RH_8,0.019160675
future_Press_mm_hg,0.019050004
future_RH_out,0.018798491
rolling_std_24,0.0122456495
rolling_mean_24,0.009207721
recent_lag_1,0.0013512113
hours_ahead,4.81987e-05
recent_lag_24,1.1830117e-05
recent_lag_168,3.1344805e-06
