origin_day,origin_date,RMSE,MAE,MAPE_%
1,2016-05-13,231.25683169919031,187.66228485107422,32.347673545508464
2,2016-05-14,266.91588445339056,197.74577458699545,36.43890010028251
3,2016-05-15,348.3079831397839,267.5889027913411,40.44126492017929
4,2016-05-16,311.4857650889457,252.44506200154623,68.43275553565262
5,2016-05-17,301.85888837971373,226.86553573608398,53.259944124369575
6,2016-05-18,294.82505516364733,225.78416061401367,58.11634533219243
7,2016-05-19,577.8994116550554,474.449161529541,120.31394885059375
8,2016-05-20,636.7385046558144,461.30665588378906,55.77375283110386
9,2016-05-21,314.1877469451218,253.56023534138998,39.477120096579824
10,2016-05-22,480.7149689432946,383.6705945332845,89.1782591810761
11,2016-05-23,230.07135521827985,188.6085065205892,47.000701383969236
12,2016-05-24,256.40510161876387,212.03938420613608,47.84164523255981
13,2016-05-25,660.9003536878512,372.59228515625,30.43340456908556
14,2016-05-26,398.3633907015948,278.32432810465497,34.36737074146528
