origin_day,origin_date,RMSE,MAE,MAPE_%
1,2016-05-13,238.93045412931193,172.86153157552084,25.034545696100572
2,2016-05-14,254.77767833006888,145.07998275756836,25.995159241747995
3,2016-05-15,287.58850303925595,189.993532816569,22.277286033076074
4,2016-05-16,285.20376439802374,205.21114857991537,56.21257151513669
5,2016-05-17,152.59023092793518,98.49276606241862,23.314362038551625
6,2016-05-18,234.91835436348464,152.5368677775065,33.10390574522062
7,2016-05-19,526.2589724073182,364.23085021972656,90.51319591189028
8,2016-05-20,675.6113897038747,461.64480717976886,46.69638960352789
9,2016-05-21,439.0945048616649,266.2101910909017,29.172821352387153
10,2016-05-22,460.477602228223,318.04408899943036,73.6345070556006
11,2016-05-23,222.55102992542183,155.8061383565267,24.190108192285663
12,2016-05-24,206.85935441355142,117.34457397460938,21.606566085934134
13,2016-05-25,741.8527020923634,409.85003153483075,28.83598575290774
14,2016-05-26,494.9972201245427,315.7514069875081,38.28217240527428
