model,eval,RMSE,MAE,MAPE_%
Weekly Seasonal Naive,single_24h,292.84523785326155,180.0,22.44440207538016
Mean,single_24h,300.0378125573135,236.2691830286617,40.46416886065109
Daily Seasonal Naive,single_24h,708.2607805980318,481.6666666666667,70.61331379809454
Naive,single_24h,1485.60874167236,1455.8333333333333,298.6674652217825
Drift,single_24h,1492.5487500745098,1463.283384129134,299.9092057292471
Mean,rolling_14day,391.2244012864813,296.0712289230205,53.57261276067639
Weekly Seasonal Naive,rolling_14day,404.9442860649597,254.58333333333331,37.13838951484933
Daily Seasonal Naive,rolling_14day,455.7574543404482,288.57142857142856,43.7733386516424
Naive,rolling_14day,584.7130339115361,512.0238095238095,113.35709353009614
Drift,rolling_14day,586.0775002486246,513.5747783106898,113.76117707513586
"SARIMAX(1,0,6)x(1,1,1,24)",single_24h,159.59644329632985,112.72210797058308,19.451833517901957
"SARIMAX(1,0,6)x(1,1,1,24)",rolling_14day,328.0612515096929,214.26731910467296,33.1932149785371
XGBoost (true_forecast),single_24h,238.93045412931195,172.86153157552084,25.03454569610057
XGBoost (true_forecast),rolling_14day,372.9794114960743,240.93270842234296,38.49068404497438
XGBoost (conditional),single_24h,231.25683169919031,187.66228485107425,32.347673545508464
XGBoost (conditional),rolling_14day,379.2808029536033,284.4744908469064,53.81593474604417
Chronos (foundation model),single_24h,305.22,215.1,26.43
